id,localized_name,icon,pro_ban,pro_win,pro_pick,pro_winrate
1,Anti-Mage,/apps/dota2/images/heroes/antimage_icon.png,722,71,149,47.651
2,Axe,/apps/dota2/images/heroes/axe_icon.png,98,41,99,41.4141
3,Bane,/apps/dota2/images/heroes/bane_icon.png,19,20,49,40.8163
4,Bloodseeker,/apps/dota2/images/heroes/bloodseeker_icon.png,298,114,212,53.7736
5,Crystal Maiden,/apps/dota2/images/heroes/crystal_maiden_icon.png,131,120,240,50.0
6,Drow Ranger,/apps/dota2/images/heroes/drow_ranger_icon.png,471,184,358,51.3966
7,Earthshaker,/apps/dota2/images/heroes/earthshaker_icon.png,72,53,118,44.9153
8,Juggernaut,/apps/dota2/images/heroes/juggernaut_icon.png,237,112,219,51.1416
9,Mirana,/apps/dota2/images/heroes/mirana_icon.png,202,187,328,57.0122
10,Morphling,/apps/dota2/images/heroes/morphling_icon.png,489,115,225,51.1111
11,Shadow Fiend,/apps/dota2/images/heroes/nevermore_icon.png,236,45,91,49.4505
12,Phantom Lancer,/apps/dota2/images/heroes/phantom_lancer_icon.png,306,28,58,48.2759
13,Puck,/apps/dota2/images/heroes/puck_icon.png,256,49,106,46.2264
14,Pudge,/apps/dota2/images/heroes/pudge_icon.png,15,13,28,46.4286
15,Razor,/apps/dota2/images/heroes/razor_icon.png,33,14,32,43.75
16,Sand King,/apps/dota2/images/heroes/sand_king_icon.png,73,55,104,52.8846
17,Storm Spirit,/apps/dota2/images/heroes/storm_spirit_icon.png,458,90,163,55.2147
18,Sven,/apps/dota2/images/heroes/sven_icon.png,358,120,226,53.0973
19,Tiny,/apps/dota2/images/heroes/tiny_icon.png,568,230,517,44.4874
20,Vengeful Spirit,/apps/dota2/images/heroes/vengefulspirit_icon.png,316,180,348,51.7241
21,Windranger,/apps/dota2/images/heroes/windrunner_icon.png,195,121,237,51.0549
22,Zeus,/apps/dota2/images/heroes/zuus_icon.png,390,67,150,44.6667
23,Kunkka,/apps/dota2/images/heroes/kunkka_icon.png,297,66,141,46.8085
25,Lina,/apps/dota2/images/heroes/lina_icon.png,274,169,287,58.885
26,Lion,/apps/dota2/images/heroes/lion_icon.png,10,14,31,45.1613
27,Shadow Shaman,/apps/dota2/images/heroes/shadow_shaman_icon.png,67,52,116,44.8276
28,Slardar,/apps/dota2/images/heroes/slardar_icon.png,338,132,261,50.5747
29,Tidehunter,/apps/dota2/images/heroes/tidehunter_icon.png,189,67,122,54.918
30,Witch Doctor,/apps/dota2/images/heroes/witch_doctor_icon.png,38,58,125,46.4
31,Lich,/apps/dota2/images/heroes/lich_icon.png,65,40,118,33.8983
32,Riki,/apps/dota2/images/heroes/riki_icon.png,96,42,84,50.0
33,Enigma,/apps/dota2/images/heroes/enigma_icon.png,38,9,25,36.0
34,Tinker,/apps/dota2/images/heroes/tinker_icon.png,55,12,23,52.1739
35,Sniper,/apps/dota2/images/heroes/sniper_icon.png,7,8,10,80.0
36,Necrophos,/apps/dota2/images/heroes/necrolyte_icon.png,84,27,50,54.0
37,Warlock,/apps/dota2/images/heroes/warlock_icon.png,122,26,55,47.2727
38,Beastmaster,/apps/dota2/images/heroes/beastmaster_icon.png,426,116,195,59.4872
39,Queen of Pain,/apps/dota2/images/heroes/queenofpain_icon.png,377,87,175,49.7143
40,Venomancer,/apps/dota2/images/heroes/venomancer_icon.png,281,46,105,43.8095
41,Faceless Void,/apps/dota2/images/heroes/faceless_void_icon.png,786,189,356,53.0899
42,Wraith King,/apps/dota2/images/heroes/skeleton_king_icon.png,27,14,32,43.75
43,Death Prophet,/apps/dota2/images/heroes/death_prophet_icon.png,369,55,125,44.0
44,Phantom Assassin,/apps/dota2/images/heroes/phantom_assassin_icon.png,325,110,218,50.4587
45,Pugna,/apps/dota2/images/heroes/pugna_icon.png,224,94,187,50.2674
46,Templar Assassin,/apps/dota2/images/heroes/templar_assassin_icon.png,374,82,169,48.5207
47,Viper,/apps/dota2/images/heroes/viper_icon.png,310,57,118,48.3051
48,Luna,/apps/dota2/images/heroes/luna_icon.png,25,33,53,62.2642
49,Dragon Knight,/apps/dota2/images/heroes/dragon_knight_icon.png,38,45,86,52.3256
50,Dazzle,/apps/dota2/images/heroes/dazzle_icon.png,24,15,35,42.8571
51,Clockwerk,/apps/dota2/images/heroes/rattletrap_icon.png,301,170,342,49.7076
52,Leshrac,/apps/dota2/images/heroes/leshrac_icon.png,150,126,243,51.8519
53,Nature's Prophet,/apps/dota2/images/heroes/furion_icon.png,186,143,274,52.1898
54,Lifestealer,/apps/dota2/images/heroes/life_stealer_icon.png,391,116,227,51.1013
55,Dark Seer,/apps/dota2/images/heroes/dark_seer_icon.png,153,38,69,55.0725
56,Clinkz,/apps/dota2/images/heroes/clinkz_icon.png,29,11,24,45.8333
57,Omniknight,/apps/dota2/images/heroes/omniknight_icon.png,80,47,73,64.3836
58,Enchantress,/apps/dota2/images/heroes/enchantress_icon.png,287,73,141,51.773
59,Huskar,/apps/dota2/images/heroes/huskar_icon.png,26,5,13,38.4615
60,Night Stalker,/apps/dota2/images/heroes/night_stalker_icon.png,127,52,113,46.0177
61,Broodmother,/apps/dota2/images/heroes/broodmother_icon.png,66,8,20,40.0
62,Bounty Hunter,/apps/dota2/images/heroes/bounty_hunter_icon.png,23,9,18,50.0
63,Weaver,/apps/dota2/images/heroes/weaver_icon.png,19,10,32,31.25
64,Jakiro,/apps/dota2/images/heroes/jakiro_icon.png,157,68,141,48.227
65,Batrider,/apps/dota2/images/heroes/batrider_icon.png,655,85,154,55.1948
66,Chen,/apps/dota2/images/heroes/chen_icon.png,125,52,83,62.6506
67,Spectre,/apps/dota2/images/heroes/spectre_icon.png,533,106,232,45.6897
68,Ancient Apparition,/apps/dota2/images/heroes/ancient_apparition_icon.png,120,42,83,50.6024
69,Doom,/apps/dota2/images/heroes/doom_bringer_icon.png,452,109,212,51.4151
70,Ursa,/apps/dota2/images/heroes/ursa_icon.png,83,36,73,49.3151
71,Spirit Breaker,/apps/dota2/images/heroes/spirit_breaker_icon.png,19,30,53,56.6038
72,Gyrocopter,/apps/dota2/images/heroes/gyrocopter_icon.png,31,18,42,42.8571
73,Alchemist,/apps/dota2/images/heroes/alchemist_icon.png,26,25,44,56.8182
74,Invoker,/apps/dota2/images/heroes/invoker_icon.png,354,93,172,54.0698
75,Silencer,/apps/dota2/images/heroes/silencer_icon.png,41,39,90,43.3333
76,Outworld Devourer,/apps/dota2/images/heroes/obsidian_destroyer_icon.png,280,23,58,39.6552
77,Lycan,/apps/dota2/images/heroes/lycan_icon.png,42,22,38,57.8947
78,Brewmaster,/apps/dota2/images/heroes/brewmaster_icon.png,33,15,29,51.7241
79,Shadow Demon,/apps/dota2/images/heroes/shadow_demon_icon.png,121,65,135,48.1481
80,Lone Druid,/apps/dota2/images/heroes/lone_druid_icon.png,143,12,22,54.5455
81,Chaos Knight,/apps/dota2/images/heroes/chaos_knight_icon.png,80,41,85,48.2353
82,Meepo,/apps/dota2/images/heroes/meepo_icon.png,26,4,8,50.0
83,Treant Protector,/apps/dota2/images/heroes/treant_icon.png,111,91,182,50.0
84,Ogre Magi,/apps/dota2/images/heroes/ogre_magi_icon.png,84,122,251,48.6056
85,Undying,/apps/dota2/images/heroes/undying_icon.png,160,126,251,50.1992
86,Rubick,/apps/dota2/images/heroes/rubick_icon.png,262,230,480,47.9167
87,Disruptor,/apps/dota2/images/heroes/disruptor_icon.png,49,80,146,54.7945
88,Nyx Assassin,/apps/dota2/images/heroes/nyx_assassin_icon.png,145,60,114,52.6316
89,Naga Siren,/apps/dota2/images/heroes/naga_siren_icon.png,82,12,24,50.0
90,Keeper of the Light,/apps/dota2/images/heroes/keeper_of_the_light_icon.png,13,20,43,46.5116
91,Io,/apps/dota2/images/heroes/wisp_icon.png,281,81,154,52.5974
92,Visage,/apps/dota2/images/heroes/visage_icon.png,27,11,20,55.0
93,Slark,/apps/dota2/images/heroes/slark_icon.png,312,33,79,41.7722
94,Medusa,/apps/dota2/images/heroes/medusa_icon.png,30,14,26,53.8462
95,Troll Warlord,/apps/dota2/images/heroes/troll_warlord_icon.png,300,94,206,45.6311
