,heroId1,heroId2,synergy_with,winrate_with,synergy_against,winrate_against
0,1,105,4.041,0.55,2.487,0.54
1,1,47,2.605,0.53,-0.089,0.52
2,1,31,1.971,0.54,1.578,0.52
3,1,25,1.586,0.5,-2.11,0.52
4,1,119,1.579,0.53,0.958,0.52
5,1,45,1.528,0.52,4.989,0.57
6,1,29,1.491,0.55,1.089,0.5
7,1,37,1.485,0.55,0.094,0.49
8,1,42,1.393,0.55,3.189,0.52
9,1,121,1.392,0.49,0.067,0.55
10,1,51,1.219,0.54,2.345,0.52
11,1,30,1.154,0.52,-0.629,0.51
12,1,64,1.108,0.53,-0.561,0.5
13,1,114,1.102,0.5,-2.617,0.51
14,1,35,1.089,0.49,2.376,0.57
15,1,40,1.015,0.52,-0.487,0.51
16,1,120,1.005,0.5,-0.517,0.53
17,1,7,0.955,0.51,-1.446,0.51
18,1,49,0.94,0.52,-0.41,0.51
19,1,34,0.912,0.48,5.537,0.61
20,1,101,0.718,0.52,2.816,0.54
21,1,110,0.682,0.52,-0.147,0.51
22,1,128,0.638,0.5,-0.144,0.53
23,1,21,0.606,0.53,0.951,0.51
24,1,22,0.553,0.56,6.066,0.53
25,1,98,0.551,0.49,1.925,0.56
26,1,26,0.498,0.5,-0.001,0.53
27,1,5,0.447,0.53,-0.887,0.49
28,1,85,0.373,0.54,2.209,0.51
29,1,16,0.303,0.51,1.219,0.53
30,1,59,0.213,0.5,-2.709,0.5
31,1,81,0.205,0.53,-0.64,0.49
32,1,100,0.167,0.5,-0.663,0.52
33,1,96,0.122,0.51,0.403,0.52
34,1,62,0.046,0.51,-1.519,0.5
35,1,94,-0.037,0.52,7.586,0.58
36,1,108,-0.042,0.58,0.714,0.45
37,1,10,-0.108,0.5,2.618,0.55
38,1,50,-0.174,0.51,-1.294,0.5
39,1,39,-0.191,0.48,0.662,0.55
40,1,99,-0.196,0.5,3.708,0.56
41,1,83,-0.201,0.53,-0.226,0.49
42,1,63,-0.326,0.5,-0.159,0.52
43,1,111,-0.402,0.5,0.918,0.53
44,1,129,-0.441,0.5,0.957,0.53
45,1,74,-0.474,0.51,-0.988,0.5
46,1,41,-0.49,0.51,0.029,0.51
47,1,106,-0.526,0.46,-2.037,0.54
48,1,68,-0.537,0.52,4.097,0.54
49,1,71,-0.537,0.51,-1.924,0.49
50,1,19,-0.55,0.47,-0.992,0.54
51,1,84,-0.588,0.54,2.19,0.5
52,1,104,-0.592,0.51,-4.868,0.46
53,1,4,-0.598,0.53,-0.82,0.48
54,1,13,-0.619,0.48,-0.901,0.53
55,1,14,-0.792,0.5,2.316,0.54
56,1,23,-0.812,0.47,-1.725,0.53
57,1,2,-0.814,0.51,-1.641,0.49
58,1,75,-0.851,0.51,-0.603,0.5
59,1,126,-0.854,0.5,1.38,0.53
60,1,11,-0.854,0.5,-1.62,0.5
61,1,60,-0.931,0.53,-1.481,0.47
62,1,9,-1.004,0.52,-0.426,0.49
